rate_id,date,currency_pair,exchange_rate
R001172,2024-06-02,USD/CNY,7.2002
R001426,2024-07-06,USD/EUR,0.9019
R002126,2024-10-05,USD/GBP,0.7843
R000455,2024-02-29,USD/CAD,1.3428
R001396,2024-07-01,USD/CNY,7.1933
R002270,2024-10-24,USD/CAD,1.3489
R002060,2024-09-26,USD/CNY,7.1939
R002167,2024-10-10,EUR/GBP,0.8431
R001135,2024-05-29,USD_GBP,0.7781
R002376,2024-11-07,EUR/GBP,0.8623
R001685,2024-08-08,EUR/GBP,0.84
R001110,2024-05-25,EUR/GBP,0.8663
R000563,2024-03-14,USD/JPY,149.7936
R002862,2025-01-11,USD/EUR,0.9245
R000416,2024-02-24,USD/INR,82.5773
R000721,2024-04-04,USD/GBP,0.7824
R000706,2024-04-02,USD/INR,83.7042
R002028,2024-09-22,EUR/GBP,0.8605
R001476,2024-07-12,USD/AUD,1.5299
R001626,2024-08-01,USD/EUR,0.9299
R002538,11/28/2024,USD/CNY,7.2459
R002828,2025-01-06,USD/CAD,1.3492
R002253,2024-10-22,USD/INR,81.9926
R000653,2024-03-26,USD/GBP,0.7779
R000181,01/24/2024,USD/JPY,149.4291
R002835,2025-01-07,USD/JPY,148.1386
R000714,2024-04-03,USD/INR,83.5321
R002140,2024-10-07,usd-eur,0.9065
R002686,2024-12-18,USD/AUD,1.5248
R001931,2024-09-09,USD/CNY,7.0917
R000671,2024-03-28,USD/AUD,1.5389
R000225,2024-01-30,USD/GBP,0.7763
R002810,01/03/2025,USD/CNY,7.1405
R002055,2024-09-26,USD/INR,82.0802
R002487,2024-11-22,USD/GBP,0.777
R000869,2024-04-23,EUR/GBP,0.8556
R000717,2024-04-03,USD/AUD,1.5217
R000363,2024-02-17,USD/INR,83.1095
R002882,2025-01-13,USD/AUD,1.4878
R001569,2024-07-24,EUR/GBP,0.8367
R000378,2024-02-19,USD/GBP,0.7814
R002811,2025-01-04,USD/EUR,0.9189
R000548,2024-03-12,USD/CAD,
R002337,2024-11-02,USD/CAD,1.3568
R002549,2024-11-30,USD/INR,84.0498
R001338,2024-06-24,USD/INR,82.9483
R002190,2024-10-13,EUR/GBP,0.855
R001182,2024-06-04,USD/GBP,0.7909
R001477,07/12/2024,EUR/GBP,0.849
R001091,2024-05-23,USD/INR,83.1404
R001204,06/07/2024,USD/EUR,0.925
R000431,2024-02-26,USD/JPY,146.7429
R002164,2024-10-10,USD/JPY,150.1931
R002879,2025-01-13,USD/INR,83.4431
R001454,2024-07-09,USD/AUD,1.5595
R001522,2024-07-18,USD/CAD,1.3579
R001136,2024-05-29,USD/INR,84.0021
R002139,2024-10-06,USD/CNY,7.091
R000276,2024-02-05,USD/CAD,1.3562
R001490,2024-07-14,USD/JPY,150.3749
R002829,2025-01-06,USD/AUD,1.5345
R000122,2024-01-17,USD/EUR,0.9116
R001602,2024-07-29,USD/EUR,0.9326
R002247,2024-10-21,USD/CAD,1.3379
R001788,2024-08-22,USD/EUR,0.9131
R002909,2025-01-17,USD/INR,82.8256
R002207,2024-10-16,USD/EUR,0.9337
R002857,2025-01-10,usd-inr,82.6027
R000639,2024-03-24,USD/JPY,
R000934,2024-05-02,USD/JPY,145.2348
R002021,2024-09-21,EUR/GBP,0.8505
R000533,2024-03-10,USD/CAD,1.3491
R001262,2024-06-14,USD/INR,83.2632
