payment_id,status,delivery_time_hours,failure_reason
P000306,Delayed,130.5,
P004217,Completed,19.7,
P003210,Completed,57.0,
P003368,Completed,31.3,
P001852,Completed,63.5,
P002943, Completed,42.4,
P001538,Completed,27.6,
P001405,Completed,31.4,
P003113,Failed,,Compliance Hold
P004244,Completed,15.1,
P000721,Delayed,231.6,
P003316,Delayed,141.0,
P003100,Completed,,
P004201,Completed,60.7,
P000647,Completed,14.5,
P001974,Completed,16.7,
P000416,Completed,54.1,
P000199,Completed,14.2,
P003146,Delayed,138.9,
P000803,Completed,49.5,
P003716,Completed,66.5,
P001662,Completed,70.4,
P003560,Completed,47.8,Insufficient Funds
P003082,Delayed,111.6,
P003013,Completed,51.1,
P000991,Failed,,Network Error
P001348,Completed,1.2,Compliance Hold
P003158,Completed,8.1,
P000303,Completed,55.9,
P000778,Completed,31.4,
P003221,Completed,60.1,
P003821,Delayed,117.6,
P003175,Failed,,Insufficient Funds
P003544,Completed,44.3,
P004141,Delayed,98.3,
P003266,Completed,,
P004114,Completed,44.6,
P001061,Completed,58.3,
P004268,Completed,52.5,
P000788,Delayed,159.2,
P003177,Completed,7.6,
P003149,Completed,57.9,
P001888,Completed,19.3,
P000456,Completed,62.6,
P001510,Completed,29.9,
P004482,Completed,55.6,
P000769,Completed,50.2,
P000329,Completed,68.5,
P003141,Completed,59.7,
P002428,Failed,,Insufficient Funds
P000648,Completed,25.4,
P001010,Failed,,Invalid Account Details
P001291,Completed,64.9,
P000734,Completed,16.0,
P003862,Completed,71.3,
P002918,Completed,18.1,
P001402,Completed,58.4,
P003550,Completed,1.5,
P000463,Completed,21.2,
P003669,Completed,37.4,
P003897,Completed,66.2,
P000431,Completed,13.1,
P002698,Completed,55.2,
P003127,Completed,34.5,
P004349,Failed,,Invalid Account Details
P000079,Completed,,
P004237,Completed,31.5,
P002657,Completed,45.9,
P001316,Completed,60.5,
P003321,Completed,58.4,
P004475,Completed,65.9,
P003964,Delayed,113.8,
P001514,Completed,29.9,
P000234,Completed,27.4,
P001970,Delayed,92.7,
P002764,Completed,65.1,
P002210,Completed,22.1,
P001594,Delayed,216.6,
P004199,Completed,41.6,
P000340,Completed,71.7,
P001981,Delayed,95.3,
P001854,Completed,9.7,
P002021,Delayed,152.9,
P003289,Completed,3.5,
P002810,Delayed,221.0,
P002444,Completed,46.2,
P001777,Completed,27.7,
P002554,Completed,19.5,
P003642,Completed,13.7,
P000862,Completed,37.0,
P003700,Completed,26.6,
P003442,Completed,29.7,
P002127,Failed,,Regulatory Block
P003867,Completed,46.0,
P004023,Completed,51.3,
P003540,Completed,20.1,
P003533,Completed,28.3,
P002664,Completed,45.8,
P002802,Completed,54.6,
P000982,Completed,-20.3,
P004000,Completed,53.4,
P002502,Delayed,55.8,
P001758,Completed,63.6,
P002978,Completed,38.4,
P003704,Completed,43.0,Regulatory Block
P000366,Completed,27.4,
P001781,Completed,54.3,
P000403,Delayed,88.3,
P001874,Delayed,178.5,
P001774,Completed,54.9,
P004264,Failed,,Network Error
P003875,Completed,33.5,
P002847,Delayed,158.7,
P003731,Completed,49.4,
P001839,Completed,24.7,
P000674,Failed,,Invalid Account Details
P002309,Completed,69.7,
P000951,Completed,67.7,
P001833,Completed,28.8,
P000606,Completed,29.8,
P000902,Completed,71.9,
P003835,Failed,,Compliance Hold
P002639,Delayed,89.3,
P003455,Delayed,82.7,
P003346,Completed,33.4,
P002349,Completed,48.8,
P003935,Completed,50.9,
P002465,Completed,1.7,
P001865,Completed,59.3,
P002376,Completed,66.9,
P000167,Failed,,Network Error
P002888,Completed,39.7,
P003290,Delayed,207.6,
P003521,Completed,42.5,
P001790,Completed,56.3,
P001167,Completed,13.5,
P001258,Completed,14.0,
P001619, Completed,10.2,
P000596,Delayed,172.6,
P004215,Completed,41.7,
P000055,Completed,25.6,
P002353,Completed,30.2,
P002869,Completed,23.3,
P002785,Delayed,143.7,
P002248,Completed,22.1,
P004463,Completed,27.8,
P004370,Completed,69.9,
P002762,Completed,58.8,
P003435,Completed,44.4,
P004133,Completed,4.2,
P001730,Failed,,Compliance Hold
P002007,Failed,,Network Error
P004029,Completed,51.9,
P003401,Delayed,187.0,
P000819,Completed,14.8,
P004026,Completed,21.3,
P001429,Delayed,124.9,
P000948, Completed,48.4,
P000321,Delayed,165.7,
P003939,Completed,65.3,
P004287,Completed,63.2,
P001205,Completed,18.1,
P003698,Completed,25.3,
P000789,Completed,57.7,
P000983,Completed,60.1,
P001307,Delayed,226.8,
P002697,Completed,1.0,
P000061,Completed,22.0,
P000627,Completed,46.7,
P001529,Completed,56.2,
P002319,Completed,62.1,
P001243,Completed,54.8,
P003826,Failed,,Network Error
P003190,Completed,62.5,
P001145,Completed,38.6,
P001890,Completed,52.9,
P002084,Completed,34.5,
P002418,Completed,45.6,
P003465,Completed,54.3,
P000825,Delayed,196.6,
P000620,Completed,58.3,
P000076,Completed,41.1,
P003641,Completed,66.5,
P003691,Completed,2.4,
P002047,Completed,52.0,
P002206,Completed,59.6,
P003225,Completed,42.7,
P003773,Completed,71.5,
P002266,Completed,4.6,
P001678,Completed,67.7,
P004050,Completed,,
P001481,Completed,46.3,
P001166,Delayed,-70.6,
P003996,Completed,71.1,
P000459,Completed,43.5,
P003949,Completed,28.1,
P002910,Completed,36.9,
P003285,Completed,67.3,
P002861,Completed,66.0,Network Error
P004152,Delayed,197.9,
P004210,Completed,41.9,
P004190,Completed,47.8,
P001160,Delayed,185.1,
P000701,Completed,29.8,
P002155,Completed,4.8,
P001040,Completed,44.9,
P001760,Delayed,193.5,
P002707,Completed,24.0,
P001566,Completed,54.0,
P003846,Completed,32.6,
P004113,Delayed,238.5,
P001459,Completed,25.2,
P002143, Completed,54.8,
P003623,Completed,55.2,
P001914,Delayed,78.3,
P002093,Completed,4.2,
P001967,Failed,,Invalid Account Details
P000367,Completed,27.4,
P000125,Completed,13.5,
P000785,Completed,16.9,
P000418,Completed,4.5,
P001568,Completed,46.7,
P001094,Completed,64.5,
P001016,Failed,,Invalid Account Details
P002538,Completed,25.5,
P002282,Completed,49.5,
P000636,Completed,34.5,
P001835,Completed,46.9,
P000309,Completed,38.6,
P004348,Completed,67.6,
P003028,Delayed,105.0,
P000129,Completed,31.8,
P000570,Completed,44.9,
P002753,Completed,4.4,
P001099,Delayed,54.8,
P000887,Completed,40.9,
P000427,Completed,54.8,
P000260,Completed,60.9,
P004272,Completed,29.6,
P003771,Completed,40.9,
P001179,Completed,,
P002256,Completed,43.7,
P001654,Completed,44.2,
P001994,Completed,17.9,
P001709,Completed,49.6,
P003392,Completed,33.5,
P001436,Delayed,184.2,
P002628,Completed,22.0,
P000624,Delayed,73.3,
P001526,Completed,35.0,
P001718,Completed,59.2,
P000846,Completed,7.6,
P002880,Completed,4.7,
P003186,Completed,49.2,
P000957,Delayed,82.1,
P001939,Completed,65.4,
P001657,Completed,8.7,
P001653,Completed,24.0,
P000376,Completed,3.8,
P004365,Completed,28.5,
P001189,Completed,14.6,
P000142,Completed,59.0,
P001077,Completed,5.1,
P004283,Completed,71.3,
P000330,Completed,39.2,
P000168,Completed,57.7,
P003396,Completed,,
P004407,Completed,26.9,
P002344,Delayed,106.1,
P001682,Completed,11.2,
P001378,Failed,,Network Error
P000569,Completed,54.8,
P004096,Completed,17.6,
P003649,Delayed,53.1,
P004256,Completed,33.2,
P004122,Completed,39.9,
P003073,Completed,3.7,
P002343,Completed,43.9,
P003064,Delayed,78.2,
P000006,Completed,49.8,
P004089,Completed,17.6,
P001257,Completed,22.2,
P003712,Completed,61.4,
P001491,Delayed,145.6,
P002273,Completed,33.0,
P000308,Completed,57.0,
P001822,Completed,47.0,
P000583,Completed,49.1,
P001031,Completed,2.2,
P004277,Completed,25.3,
P000097,Delayed,63.4,
P003975,Completed,11.2,
P003834,Completed,56.1,
P003881,Completed,38.1,
P001493,Completed,53.3,
P003885,Delayed,212.1,
P001018,Completed,62.8,
P004455,Delayed,225.5,
P004464,Completed,47.9,
P003907,Completed,36.9,
P003998,Completed,10.0,
P003047,Completed,31.3,
P003604,Completed,55.8,
P003985,Completed,49.2,
P004355,Completed,44.1,
P000731,Completed,26.8,
P003873,Completed,46.4,
P002203,Completed,17.3,
P001963,Completed,49.3,
P001070,Completed,43.1,
P004374,Completed,39.8,
P004046,Completed,34.2,
